Name,Category,Link
NSW Planning Portal,Government & Regulatory,https://www.planningportal.nsw.gov.au/
NSW Spatial Services SDT Explorer,Government & Regulatory,https://portal.spatial.nsw.gov.au/explorer/index.html
NSW Strata Search,Government & Regulatory,https://www.nsw.gov.au/housing-and-construction/strata/strata-search
Contractor Licence Verify,Government & Regulatory,https://verify.licence.nsw.gov.au/home/Trades
DBP Licence Verify,Government & Regulatory,https://verify.licence.nsw.gov.au/home/DBP
Sydney Water Tap In,Government & Regulatory,https://stspeusr.prod.sydneywater.com.au/adfs/ls?app=tapin
Jemena MyGas Services,Government & Regulatory,https://myportal.jemena.com.au/
Endeavour Energy DSP Portal,Government & Regulatory,https://dsp.endeavourenergy.com.au/prweb/PRAuth/app/cdu_/uzW7NHo8Q7otUoNYPVTuNA*/!STANDARD
BOM Rainfall IFD Data,Government & Regulatory,http://www.bom.gov.au/water/designRainfalls/revised-ifd/?year=2016
BOM Historical Weather Observations,Government & Regulatory,http://www.bom.gov.au/climate/data-services/station-data.shtml
NCC (National Construction Code),Standards & Codes,https://ncc.abcb.gov.au/
Australian Institute of Architects (Sign-In),Industry & Professional Bodies,https://members.architecture.com.au/Web/Sign_In.aspx
Mecone Mosaic,Industry & Professional Bodies,https://meconemosaic.au/
Geeks on Tap Hosting,"Utilities, Tools & Services",https://hosting.geeksontap.com.au/clientarea.php
Company Wiki,Business & Internal Operations,https://wiki.saiyu.com.au/
Gmail Inbox ,Business & Internal Operations,https://mail.google.com/mail/u/0/#inbox
ChatGPT,Business & Internal Operations,https://chatgpt.com/
Google NotebookLM,Business & Internal Operations,https://notebooklm.google.com/
Perplexity,Business & Internal Operations,https://www.perplexity.ai/

